"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
5.0;"aaronha01";0.4257005917159763;0.6359;0.3545;0.2814;0.5874
4.0;"abramca01";0.35303952569169955;0.4353;0.2857;0.1496;0.7578
4.0;"adairje01";0.3135973637961335;0.4145;0.2844;0.1301;0.7124
6.0;"adamsbo03";0.3058564139941691;0.3626;0.2826;0.0801;0.8056
4.0;"adcocjo01";0.376175499092559;0.52;0.308;0.212;0.6429
8.0;"ageeto01";0.34728468208092483;0.4686;0.2862;0.1824;0.6648
0.0;"allenbe01";0.31596136724960255;0.4031;0.2688;0.1344;0.7013
1.0;"allendi01";0.39111001451378813;0.557;0.318;0.2389;0.602
3.0;"alleyge01";0.32301270358306183;0.418;0.2988;0.1192;0.7399
6.0;"allisbo01";0.405365593220339;0.5528;0.2866;0.2663;0.5532
7.0;"alomasa01";0.27095659340659345;0.3208;0.2598;0.061;0.8268
8.0;"aloufe01";0.37863925501432666;0.533;0.3273;0.2057;0.6835
7.0;"alouje01";0.30546812500000003;0.3843;0.3057;0.0786;0.7786
6.0;"alouma01";0.34248007117437723;0.4206;0.3421;0.0785;0.8415
3.0;"altmage01";0.3811064516129033;0.5112;0.3184;0.1929;0.6824
1.0;"alvisma01";0.3332818461538462;0.4601;0.2741;0.186;0.6303
1.0;"anderha02";0.3741475524475525;0.5243;0.301;0.2233;0.5935
0.0;"andersp01";0.24126660268714012;0.2495;0.218;0.0314;0.8846
3.0;"andremi01";0.36624191176470583;0.4547;0.2931;0.1616;0.6838
14.0;"aparilu01";0.3367359016393443;0.404;0.3134;0.0906;0.7861
10.0;"ashburi01";0.38472067510548524;0.4407;0.3496;0.0911;0.8186
11.0;"asprobo01";0.3204266159695817;0.4012;0.2942;0.107;0.7552
3.0;"asproke01";0.33608897485493233;0.4031;0.2898;0.1133;0.7669
1.0;"auerbri01";0.24125647058823532;0.269;0.2184;0.0505;0.8264
5.0;"avilabo01";0.38024345718901453;0.4775;0.3405;0.1369;0.7672
2.0;"bailebo01";0.3202215277777778;0.4038;0.2811;0.1226;0.7315
2.0;"bailobo01";0.31775600775193796;0.4032;0.3105;0.0927;0.7987
4.0;"bakerdu01";0.37690320641282565;0.5045;0.3206;0.1839;0.6783
1.0;"bakerge02";0.3253303030303031;0.4251;0.2754;0.1497;0.6644
7.0;"bandosa01";0.37166696165191737;0.4983;0.2872;0.2111;0.6235
5.0;"bankser01";0.4071603886397609;0.6143;0.3128;0.3015;0.5803
5.0;"bannial01";0.3134464864864865;0.3834;0.2846;0.0988;0.7361
8.0;"batemjo01";0.2668833655705996;0.3496;0.2419;0.1077;0.7479
6.0;"batteea01";0.36417392996108955;0.4696;0.3022;0.1674;0.6978
4.0;"bauerha01";0.3513582508250825;0.4629;0.2929;0.17;0.6667
6.0;"baumhfr01";0.33434564831261104;0.4192;0.3058;0.1135;0.7107
6.0;"beckegl01";0.3363043010752688;0.4057;0.3415;0.0642;0.8619
4.0;"belanma01";0.3058849572649573;0.3453;0.2868;0.0585;0.8487
5.0;"bellgu01";0.36993413173652695;0.5098;0.3082;0.2016;0.6649
2.0;"benchjo01";0.35583128205128206;0.4868;0.2932;0.1936;0.6795
7.0;"beniqju01";0.2887609218436874;0.3784;0.26;0.1184;0.748
8.0;"berrayo01";0.3659428571428572;0.488;0.3065;0.1815;0.6872
8.0;"berryke01";0.3047265873015873;0.3564;0.2765;0.0799;0.8359
7.0;"bertore01";0.2917030241935484;0.3587;0.2652;0.0935;0.7705
7.0;"biittla01";0.3327160680529301;0.432;0.2982;0.1339;0.7211
4.0;"bilkost01";0.3263062402496101;0.4123;0.2509;0.1614;0.6713
4.0;"billidi01";0.2675758483033932;0.322;0.2537;0.0682;0.8235
3.0;"blairpa01";0.341130441898527;0.4457;0.2935;0.1522;0.6914
3.0;"blankla01";0.2604001949317739;0.293;0.2335;0.0594;0.8273
4.0;"blasido01";0.31801114369501465;0.3593;0.2894;0.0699;0.809
6.0;"blaylma01";0.3102163106796117;0.3848;0.2543;0.1304;0.7265
0.0;"blefacu01";0.36687872727272725;0.4697;0.2597;0.21;0.5917
5.0;"bochtbr01";0.36866528;0.4928;0.3159;0.1769;0.6571
4.0;"bollifr01";0.312073224852071;0.3918;0.2689;0.123;0.7378
2.0;"bondsbo01";0.37282170963364997;0.5038;0.3017;0.2021;0.64
4.0;"bondwa01";0.3114557264957265;0.4199;0.2541;0.1657;0.6884
1.0;"boonebo01";0.2880889679715302;0.3647;0.261;0.1036;0.7647
8.0;"boonera01";0.3929039426523298;0.5177;0.3077;0.21;0.6959
3.0;"bosetri01";0.2762557603686636;0.3619;0.2601;0.1018;0.7205
2.0;"bostoly01";0.37842205206738133;0.5076;0.3356;0.172;0.6884
1.0;"bouched01";0.37059118086696563;0.4704;0.2927;0.1777;0.6429
5.0;"bowala01";0.30990147299509;0.3774;0.3053;0.072;0.8371
1.0;"bowensa01";0.33184272727272723;0.4531;0.2635;0.1896;0.6288
6.0;"boydbo01";0.3485722735674676;0.4082;0.3175;0.0907;0.8182
7.0;"boyercl02";0.31756193548387096;0.4134;0.2721;0.1413;0.7208
6.0;"boyerke01";0.39302844036697243;0.5331;0.3294;0.2037;0.6856
