"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
5.0;"aaronha01";0.4257005917159763;0.6359;0.3545;0.2814;0.5874
1.0;"allendi01";0.39111001451378813;0.557;0.318;0.2389;0.602
8.0;"aloufe01";0.37863925501432666;0.533;0.3273;0.2057;0.6835
14.0;"aparilu01";0.3367359016393443;0.404;0.3134;0.0906;0.7861
7.0;"bandosa01";0.37166696165191737;0.4983;0.2872;0.2111;0.6235
5.0;"bankser01";0.4071603886397609;0.6143;0.3128;0.3015;0.5803
2.0;"benchjo01";0.35583128205128206;0.4868;0.2932;0.1936;0.6795
4.0;"bollifr01";0.312073224852071;0.3918;0.2689;0.123;0.7378
2.0;"bondsbo01";0.37282170963364997;0.5038;0.3017;0.2021;0.64
5.0;"bowala01";0.30990147299509;0.3774;0.3053;0.072;0.8371
6.0;"boyerke01";0.39302844036697243;0.5331;0.3294;0.2037;0.6856
10.0;"brocklo01";0.34978389355742295;0.425;0.3125;0.1125;0.745
10.0;"campabe01";0.3126616724738676;0.3662;0.2903;0.0759;0.817
2.0;"cardele01";0.32201911532385463;0.4109;0.2937;0.1171;0.7399
10.0;"carewro01";0.4268050147492626;0.5698;0.388;0.1818;0.7155
2.0;"cedence01";0.38705476575121167;0.5367;0.3202;0.2165;0.6145
9.0;"cepedor01";0.38204460547504027;0.524;0.325;0.1989;0.6612
4.0;"ceyro01";0.356085248447205;0.4735;0.2827;0.1908;0.65
4.0;"chambch01";0.3213663837011884;0.4342;0.3043;0.1299;0.7018
12.0;"clemero01";0.3995343089430894;0.5538;0.3573;0.1966;0.7177
3.0;"colavro01";0.4280097902097902;0.6196;0.3027;0.317;0.527
8.0;"conceda01";0.3277022690437601;0.4053;0.3009;0.1044;0.7471
3.0;"cowenal01";0.3732929878048781;0.5248;0.3119;0.2129;0.6349
9.0;"daviswi02";0.3448865420560748;0.4558;0.3112;0.1446;0.729
4.0;"evansda01";0.4044826869806094;0.5563;0.2807;0.2756;0.5569
6.0;"garvest01";0.3490126618705036;0.4765;0.3187;0.1578;0.7048
3.0;"gilliji01";0.3497290275761974;0.3956;0.2997;0.096;0.7921
8.0;"groatdi01";0.33471734197730957;0.3944;0.3246;0.0698;0.828
8.0;"harpeto01";0.38070687134502923;0.5215;0.2964;0.2252;0.6089
5.0;"hernake01";0.3921786435786435;0.5131;0.3443;0.1689;0.6667
9.0;"javieju01";0.31322819047619044;0.4077;0.2819;0.1258;0.7122
2.0;"kalinal01";0.4093025411061285;0.5459;0.3401;0.2058;0.705
2.0;"kessido01";0.2665229390681003;0.3021;0.2739;0.0281;0.9247
8.0;"kingmda01";0.39755824742268037;0.6128;0.2876;0.3252;0.5294
7.0;"kuennha01";0.38341141924959216;0.5009;0.3529;0.148;0.7071
4.0;"lemonch01";0.37505521669341896;0.4964;0.3183;0.1781;0.6441
7.0;"luzingr01";0.40794532488114105;0.5939;0.3087;0.2852;0.5497
4.0;"maddoga01";0.3498974048442906;0.4557;0.3296;0.1262;0.72
2.0;"madlobi01";0.37537191413237925;0.4786;0.3541;0.1245;0.7637
6.0;"mantlmi01";0.48466466666666663;0.6646;0.365;0.2996;0.6069
7.0;"matheed01";0.41809394387001475;0.5926;0.3064;0.2862;0.6154
7.0;"matthga01";0.3671500725689405;0.5024;0.3043;0.1981;0.6563
3.0;"mayle01";0.33806994906621396;0.4687;0.2898;0.1789;0.6605
7.0;"mayswi01";0.4190806835066864;0.5833;0.3467;0.2367;0.649
1.0;"mazerbi01";0.30908054054054057;0.4068;0.2833;0.1236;0.7181
6.0;"mcmilro01";0.31751165048543695;0.3571;0.2723;0.0848;0.7459
9.0;"olivato01";0.3820568627450981;0.5462;0.3368;0.2094;0.6646
4.0;"parkeda01";0.3879385281385281;0.5306;0.3375;0.1931;0.6605
5.0;"parrila01";0.37714194107452337;0.5515;0.307;0.2445;0.5749
3.0;"pinsova01";0.3746290519877675;0.5041;0.3427;0.1614;0.7212
5.0;"riceji01";0.4078156432748537;0.5961;0.3247;0.2714;0.5821
9.0;"robinbr01";0.371763868065967;0.5212;0.317;0.2042;0.6598
6.0;"robinfr02";0.4306614598540146;0.624;0.3415;0.2824;0.5577
6.0;"rosepe01";0.396610593220339;0.512;0.3477;0.1643;0.7248
11.0;"runnepe01";0.36815383411580593;0.4555;0.3256;0.1299;0.7377
4.0;"santoro01";0.4043440528634361;0.5642;0.3125;0.2517;0.5892
7.0;"scottge02";0.36521954887218044;0.4884;0.3063;0.1821;0.6865
7.0;"singlke01";0.40351473354231976;0.5075;0.3284;0.1791;0.7273
1.0;"templga01";0.3348245696400626;0.4493;0.3221;0.1272;0.775
11.0;"torrejo01";0.4079641399416909;0.5552;0.3628;0.1924;0.713
1.0;"virdobi01";0.35618420074349444;0.4617;0.334;0.1277;0.7706
6.0;"whitebi03";0.37152607407407406;0.4821;0.3241;0.158;0.7286
5.0;"whitero01";0.3657528571428571;0.4729;0.2956;0.1773;0.6778
13.0;"willibi01";0.4131720634920634;0.6063;0.3328;0.2735;0.5969
8.0;"willsma01";0.30668233486943164;0.3653;0.3019;0.0633;0.871
7.0;"wynnji01";0.37495152439024393;0.4928;0.2816;0.2112;0.609
9.0;"yastrca01";0.43997649635036495;0.5919;0.3286;0.2633;0.629
3.0;"abreubo01";0.4204839449541285;0.5495;0.3352;0.2143;0.6393
13.0;"alomaro01";0.4029372549019607;0.5409;0.3357;0.2052;0.658
8.0;"anderbr01";0.43162749999999994;0.6373;0.2971;0.3402;0.4651
2.0;"bagweje01";0.3792250414593698;0.5159;0.3196;0.1963;0.6433
16.0;"baineha01";0.3834228318584071;0.503;0.3111;0.1919;0.6688
13.0;"baylodo01";0.3575330479452055;0.4944;0.3034;0.191;0.6481
8.0;"bellbu01";0.3704227360308285;0.498;0.3286;0.1694;0.7205
5.0;"bellge02";0.37051644832605535;0.532;0.3089;0.2231;0.6212
2.0;"berkmla01";0.4349289897510981;0.6205;0.331;0.2894;0.5079
7.0;"bicheda01";0.40958121911037887;0.62;0.3402;0.2798;0.5939
10.0;"biggicr01";0.3844269493844049;0.5031;0.3251;0.178;0.6524
3.0;"boggswa01";0.40097093333333333;0.4778;0.3675;0.1103;0.7792
7.0;"bondsba01";0.45521045958795564;0.6772;0.3358;0.3414;0.5138
5.0;"bonilbo01";0.3709202380952381;0.4922;0.3016;0.1906;0.6092
9.0;"boonebr01";0.3963054411764706;0.5778;0.3307;0.2472;0.6262
7.0;"brettge01";0.4582290581162325;0.6637;0.3898;0.2739;0.6229
1.0;"brunato01";0.36546875;0.4708;0.2721;0.1987;0.5952
11.0;"bucknbi01";0.3371195688225539;0.4567;0.3235;0.1332;0.7112
4.0;"butlebr01";0.3493228658536585;0.4315;0.3113;0.1201;0.7446
9.0;"caminke01";0.42211366559485525;0.6209;0.326;0.2949;0.5562
3.0;"cartejo01";0.35681787234042556;0.5143;0.3017;0.2127;0.63
4.0;"castilu01";0.3603479740680713;0.3878;0.334;0.0538;0.8778
7.0;"castivi02";0.39918086956521737;0.5891;0.3194;0.2698;0.6214
3.0;"clarkwi02";0.3972689863842663;0.5459;0.3333;0.2126;0.6429
8.0;"claytro01";0.34067274509803924;0.4452;0.2882;0.157;0.7015
5.0;"colemvi01";0.3217187265917603;0.4004;0.2918;0.1087;0.7724
9.0;"coopece01";0.3865903963414634;0.5386;0.3521;0.1865;0.7169
5.0;"damonjo01";0.36978628257887514;0.4947;0.3267;0.1679;0.6822
3.0;"davisch01";0.37145;0.507;0.3146;0.1924;0.6943
14.0;"dawsoan01";0.3654496428571429;0.535;0.31;0.225;0.6341
7.0;"delgaca01";0.46380620490620494;0.6643;0.3445;0.3199;0.4949
10.0;"deshide01";0.34547225705329154;0.4439;0.2959;0.148;0.6506
4.0;"durhara01";0.35081449275362314;0.4346;0.2958;0.1389;0.7182
4.0;"dyeje01";0.39867473997028224;0.5607;0.3211;0.2396;0.6062
4.0;"erstada01";0.40191562499999994;0.5414;0.355;0.1864;0.7083
15.0;"evansdw01";0.41356482334869427;0.5693;0.305;0.2643;0.5576
7.0;"finlest01";0.3705447552447553;0.5313;0.2977;0.2336;0.5692
10.0;"frymatr01";0.38382286585365855;0.5157;0.3206;0.1951;0.6522
7.0;"gaettga01";0.37757235294117647;0.5513;0.3013;0.25;0.5816
4.0;"gilesbr02";0.4288698387096775;0.6142;0.3148;0.2994;0.5427
5.0;"gilesbr02";0.4258217777777778;0.5939;0.3148;0.2791;0.5511
2.0;"glaustr01";0.4215025297619048;0.6039;0.2842;0.3197;0.4688
9.0;"gonzalu01";0.4002791545189504;0.5489;0.3355;0.2134;0.6359
8.0;"gracema01";0.361315625;0.4552;0.3309;0.1243;0.7293
6.0;"greensh01";0.40628251445086705;0.5879;0.3094;0.2785;0.5421
2.0;"griffke02";0.3809707236842106;0.5274;0.3266;0.2007;0.6369
7.0;"grissma02";0.35478569424964934;0.4888;0.3085;0.1803;0.686
4.0;"grudzma01";0.3516804143126177;0.4365;0.3258;0.1107;0.7799
4.0;"guerrvl01";0.4416453074433657;0.6637;0.345;0.3187;0.5787
8.0;"guilloz01";0.28293298097251585;0.3742;0.2801;0.0941;0.7578
15.0;"gwynnto01";0.39609545454545453;0.5473;0.3716;0.1757;0.6909
3.0;"heltoto01";0.4697702222222222;0.6983;0.3724;0.3259;0.5231
11.0;"henderi01";0.4299462711864407;0.5767;0.3252;0.2515;0.5975
6.0;"herrto01";0.3411192419825073;0.4161;0.302;0.1141;0.7278
7.0;"hrbekke01";0.3818528596187175;0.5196;0.3118;0.2078;0.6478
