"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
17.0;"aaronha01";0.4424913043478261;0.6687;0.3273;0.3414;0.5556
4.0;"abramca01";0.35303952569169955;0.4353;0.2857;0.1496;0.7578
4.0;"adairje01";0.3135973637961335;0.4145;0.2844;0.1301;0.7124
6.0;"adamsbo03";0.3058564139941691;0.3626;0.2826;0.0801;0.8056
6.0;"adcocjo01";0.38964658385093165;0.5969;0.2907;0.3062;0.5303
8.0;"ageeto01";0.34728468208092483;0.4686;0.2862;0.1824;0.6648
0.0;"allenbe01";0.31596136724960255;0.4031;0.2688;0.1344;0.7013
3.0;"allendi01";0.4254291808873721;0.6317;0.3168;0.3149;0.5482
3.0;"alleyge01";0.32301270358306183;0.418;0.2988;0.1192;0.7399
6.0;"allisbo01";0.405365593220339;0.5528;0.2866;0.2663;0.5532
7.0;"alomasa01";0.27095659340659345;0.3208;0.2598;0.061;0.8268
8.0;"aloufe01";0.37863925501432666;0.533;0.3273;0.2057;0.6835
2.0;"alouje01";0.309026559714795;0.3978;0.2983;0.0994;0.8025
6.0;"alouma01";0.34248007117437723;0.4206;0.3421;0.0785;0.8415
2.0;"altmage01";0.3816533568904593;0.5598;0.3031;0.2568;0.5732
1.0;"alvisma01";0.3332818461538462;0.4601;0.2741;0.186;0.6303
1.0;"anderha02";0.3741475524475525;0.5243;0.301;0.2233;0.5935
0.0;"andersp01";0.24126660268714012;0.2495;0.218;0.0314;0.8846
3.0;"andremi01";0.36624191176470583;0.4547;0.2931;0.1616;0.6838
14.0;"aparilu01";0.3367359016393443;0.404;0.3134;0.0906;0.7861
7.0;"ashburi01";0.39065651491365777;0.4484;0.3377;0.1107;0.7556
11.0;"asprobo01";0.3204266159695817;0.4012;0.2942;0.107;0.7552
3.0;"asproke01";0.33608897485493233;0.4031;0.2898;0.1133;0.7669
1.0;"auerbri01";0.24125647058823532;0.269;0.2184;0.0505;0.8264
5.0;"avilabo01";0.38024345718901453;0.4775;0.3405;0.1369;0.7672
11.0;"bailebo01";0.3691742424242424;0.4893;0.2729;0.2164;0.6071
2.0;"bailobo01";0.31775600775193796;0.4032;0.3105;0.0927;0.7987
9.0;"bakerdu01";0.3711184563758389;0.5122;0.2908;0.2214;0.6323
1.0;"bakerge02";0.3253303030303031;0.4251;0.2754;0.1497;0.6644
7.0;"bandosa01";0.37166696165191737;0.4983;0.2872;0.2111;0.6235
5.0;"bankser01";0.4071603886397609;0.6143;0.3128;0.3015;0.5803
5.0;"bannial01";0.3134464864864865;0.3834;0.2846;0.0988;0.7361
7.0;"batemjo01";0.2760812154696133;0.3827;0.2365;0.1462;0.6667
8.0;"batteea01";0.36265157342657345;0.4764;0.2854;0.1909;0.6966
4.0;"bauerha01";0.3513582508250825;0.4629;0.2929;0.17;0.6667
6.0;"baumhfr01";0.33434564831261104;0.4192;0.3058;0.1135;0.7107
9.0;"baylodo01";0.37947248603351963;0.5303;0.2962;0.2341;0.6129
6.0;"beckegl01";0.3363043010752688;0.4057;0.3415;0.0642;0.8619
4.0;"belanma01";0.3058849572649573;0.3453;0.2868;0.0585;0.8487
3.0;"bellgu01";0.37317201210287443;0.5246;0.3;0.2246;0.6066
3.0;"benchjo01";0.38440468986384263;0.5868;0.2926;0.2942;0.5254
7.0;"beniqju01";0.2887609218436874;0.3784;0.26;0.1184;0.748
10.0;"berrayo01";0.383785908319185;0.5336;0.2975;0.2361;0.6065
8.0;"berryke01";0.3047265873015873;0.3564;0.2765;0.0799;0.8359
7.0;"bertore01";0.2917030241935484;0.3587;0.2652;0.0935;0.7705
7.0;"biittla01";0.3327160680529301;0.432;0.2982;0.1339;0.7211
4.0;"bilkost01";0.3263062402496101;0.4123;0.2509;0.1614;0.6713
4.0;"billidi01";0.2675758483033932;0.322;0.2537;0.0682;0.8235
5.0;"blairpa01";0.3421684523809524;0.4768;0.2848;0.192;0.6461
3.0;"blankla01";0.2604001949317739;0.293;0.2335;0.0594;0.8273
2.0;"blasido01";0.3115681502086231;0.3677;0.2708;0.0969;0.7727
6.0;"blaylma01";0.3102163106796117;0.3848;0.2543;0.1304;0.7265
0.0;"blefacu01";0.36687872727272725;0.4697;0.2597;0.21;0.5917
5.0;"bochtbr01";0.36866528;0.4928;0.3159;0.1769;0.6571
3.0;"bollifr01";0.31601058451816744;0.4045;0.2587;0.1458;0.6779
5.0;"bondsbo01";0.37952318244170086;0.5303;0.283;0.2473;0.5769
4.0;"bondwa01";0.3114557264957265;0.4199;0.2541;0.1657;0.6884
1.0;"boonebo01";0.2880889679715302;0.3647;0.261;0.1036;0.7647
8.0;"boonera01";0.3929039426523298;0.5177;0.3077;0.21;0.6959
3.0;"bosetri01";0.2762557603686636;0.3619;0.2601;0.1018;0.7205
2.0;"bostoly01";0.37842205206738133;0.5076;0.3356;0.172;0.6884
1.0;"bouched01";0.37059118086696563;0.4704;0.2927;0.1777;0.6429
5.0;"bowala01";0.30990147299509;0.3774;0.3053;0.072;0.8371
1.0;"bowensa01";0.33184272727272723;0.4531;0.2635;0.1896;0.6288
6.0;"boydbo01";0.3485722735674676;0.4082;0.3175;0.0907;0.8182
10.0;"boyercl02";0.30547777777777774;0.4241;0.251;0.1732;0.6357
5.0;"boyerke01";0.38964455445544555;0.5616;0.3043;0.2572;0.5952
6.0;"brandja01";0.3309186948853615;0.4455;0.2554;0.1901;0.5891
4.0;"braunst01";0.35510366088631984;0.4283;0.3024;0.1258;0.7664
0.0;"breedma01";0.28227881355932205;0.3358;0.2668;0.069;0.7959
8.0;"bressed01";0.3530283699059561;0.4558;0.2933;0.1625;0.6446
10.0;"briggjo02";0.3288768;0.4278;0.2527;0.1751;0.6071
13.0;"brinked01";0.2672188081936685;0.3466;0.2211;0.1255;0.7117
6.0;"brocklo01";0.3373466480446927;0.4717;0.299;0.1727;0.6845
