"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
17.0;"aaronha01";0.4424913043478261;0.6687;0.3273;0.3414;0.5556
3.0;"allendi01";0.4254291808873721;0.6317;0.3168;0.3149;0.5482
8.0;"aloufe01";0.37863925501432666;0.533;0.3273;0.2057;0.6835
14.0;"aparilu01";0.3367359016393443;0.404;0.3134;0.0906;0.7861
7.0;"bandosa01";0.37166696165191737;0.4983;0.2872;0.2111;0.6235
5.0;"bankser01";0.4071603886397609;0.6143;0.3128;0.3015;0.5803
9.0;"baylodo01";0.37947248603351963;0.5303;0.2962;0.2341;0.6129
3.0;"benchjo01";0.38440468986384263;0.5868;0.2926;0.2942;0.5254
3.0;"bollifr01";0.31601058451816744;0.4045;0.2587;0.1458;0.6779
5.0;"bondsbo01";0.37952318244170086;0.5303;0.283;0.2473;0.5769
5.0;"bowala01";0.30990147299509;0.3774;0.3053;0.072;0.8371
5.0;"boyerke01";0.38964455445544555;0.5616;0.3043;0.2572;0.5952
6.0;"brocklo01";0.3373466480446927;0.4717;0.299;0.1727;0.6845
6.0;"campabe01";0.32897027863777084;0.4478;0.2786;0.1692;0.6786
5.0;"cardele01";0.32542797319933;0.4309;0.2873;0.1436;0.7063
10.0;"carewro01";0.4268050147492626;0.5698;0.388;0.1818;0.7155
3.0;"cedence01";0.3835343309859155;0.5371;0.32;0.2171;0.631
3.0;"cepedor01";0.40454207999999997;0.6085;0.3111;0.2974;0.5714
8.0;"ceyro01";0.37897373029772335;0.499;0.2813;0.2177;0.6423
6.0;"clemero01";0.39843449419568827;0.5594;0.3514;0.208;0.6866
3.0;"colavro01";0.4280097902097902;0.6196;0.3027;0.317;0.527
9.0;"conceda01";0.329293893129771;0.4153;0.2814;0.1339;0.7349
3.0;"cowenal01";0.3732929878048781;0.5248;0.3119;0.2129;0.6349
9.0;"daviswi02";0.3448865420560748;0.4558;0.3112;0.1446;0.729
4.0;"evansda01";0.4044826869806094;0.5563;0.2807;0.2756;0.5569
9.0;"garvest01";0.35658409425625925;0.4992;0.3161;0.1831;0.6733
1.0;"gilliji01";0.3391591304347826;0.4185;0.2817;0.1367;0.7135
11.0;"groatdi01";0.35344935251798565;0.4501;0.3185;0.1315;0.7015
8.0;"harpeto01";0.38070687134502923;0.5215;0.2964;0.2252;0.6089
5.0;"hernake01";0.3921786435786435;0.5131;0.3443;0.1689;0.6667
2.0;"jacksre01";0.4198393292682927;0.6084;0.275;0.3333;0.4305
9.0;"javieju01";0.31322819047619044;0.4077;0.2819;0.1258;0.7122
2.0;"kalinal01";0.4093025411061285;0.5459;0.3401;0.2058;0.705
5.0;"kessido01";0.3013559834938102;0.366;0.2726;0.0934;0.7348
8.0;"kingmda01";0.39755824742268037;0.6128;0.2876;0.3252;0.5294
7.0;"kuennha01";0.38341141924959216;0.5009;0.3529;0.148;0.7071
4.0;"lemonch01";0.37505521669341896;0.4964;0.3183;0.1781;0.6441
