"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
21.0;"aaronha01";0.30349090909090903;0.3548;0.2344;0.1204;0.7248
4.0;"abramca01";0.35303952569169955;0.4353;0.2857;0.1496;0.7578
6.0;"adairje01";0.2643536379018613;0.3409;0.2478;0.0931;0.773
7.0;"adamsbo03";0.30937654135338344;0.3575;0.2751;0.0824;0.8323
10.0;"adcocjo01";0.36156648745519715;0.5;0.2977;0.2023;0.6732
4.0;"ageeto01";0.33060455212922174;0.4467;0.2734;0.1733;0.6686
0.0;"allenbe01";0.31596136724960255;0.4031;0.2688;0.1344;0.7013
8.0;"allendi01";0.3687297637795276;0.4681;0.2951;0.173;0.7037
5.0;"alleyge01";0.27277281553398053;0.3207;0.2447;0.0759;0.7759
2.0;"allisbo01";0.33883025210084033;0.4132;0.2515;0.1617;0.619
3.0;"almonbi01";0.27990416024653314;0.3361;0.261;0.075;0.8063
9.0;"alomasa01";0.2462998023715415;0.2574;0.2383;0.0191;0.9286
11.0;"aloufe01";0.2892041916167665;0.3445;0.2815;0.063;0.8582
4.0;"alouje01";0.2966606463878327;0.3667;0.2922;0.0745;0.8389
10.0;"alouma01";0.2982617440225035;0.356;0.2969;0.0591;0.8507
4.0;"altmage01";0.3202839458413927;0.4009;0.2737;0.1272;0.7323
6.0;"alvisma01";0.26943171717171716;0.3274;0.2235;0.104;0.7228
2.0;"anderha02";0.29357944954128445;0.4016;0.2402;0.1614;0.6066
0.0;"andersp01";0.24126660268714012;0.2495;0.218;0.0314;0.8846
2.0;"andremi01";0.32303574879227054;0.3545;0.2705;0.084;0.7931
17.0;"aparilu01";0.2803881386861314;0.3086;0.2705;0.0381;0.8667
11.0;"ashburi01";0.30165885978428353;0.3067;0.266;0.0408;0.8733
9.0;"asprobo01";0.27673058252427185;0.3218;0.263;0.0588;0.8553
3.0;"asproke01";0.33608897485493233;0.4031;0.2898;0.1133;0.7669
1.0;"auerbri01";0.24125647058823532;0.269;0.2184;0.0505;0.8264
2.0;"avilabo01";0.3442775747508306;0.4096;0.3044;0.1052;0.7939
1.0;"bailebo01";0.2807831230283912;0.3281;0.2281;0.1;0.7692
2.0;"bailobo01";0.31775600775193796;0.4032;0.3105;0.0927;0.7987
3.0;"bakerge02";0.29635076142131983;0.3773;0.2582;0.119;0.7305
13.0;"bandosa01";0.2991955056179776;0.3445;0.2458;0.0987;0.7778
1.0;"bankser01";0.3262172360248447;0.4266;0.2749;0.1518;0.7239
3.0;"bannial01";0.29611980830670925;0.3375;0.275;0.0625;0.8312
8.0;"batemjo01";0.2668833655705996;0.3496;0.2419;0.1077;0.7479
7.0;"batteea01";0.3227879310344828;0.3927;0.2797;0.113;0.7671
7.0;"bauerha01";0.35495340501792116;0.4614;0.2785;0.1829;0.6715
4.0;"baumhfr01";0.3169507340946166;0.3804;0.2839;0.0964;0.7484
4.0;"baylodo01";0.3129114814814815;0.3824;0.272;0.1104;0.7519
6.0;"beckegl01";0.3363043010752688;0.4057;0.3415;0.0642;0.8619
5.0;"belanma01";0.2572963106796116;0.2593;0.2179;0.0414;0.88
4.0;"bellbu01";0.30146646248085757;0.3659;0.2815;0.0844;0.7941
7.0;"bellgu01";0.320704044117647;0.4196;0.2922;0.1275;0.7584
6.0;"benchjo01";0.32923223270440255;0.4291;0.2531;0.1759;0.6809
5.0;"beniqju01";0.27496423076923077;0.3013;0.2552;0.046;0.8525
5.0;"berrayo01";0.3631311447811448;0.4918;0.2943;0.1974;0.6894
8.0;"berryke01";0.3047265873015873;0.3564;0.2765;0.0799;0.8359
7.0;"bertore01";0.2917030241935484;0.3587;0.2652;0.0935;0.7705
