"playerID";"G";"AB";"R";"H";"IBB";"1B";"2B";"3B";"HR";"SF";"RBI";"SB";"CS";"BB";"SO";"HBP"
"aardsda01";331.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
"aaronha01";3298.0;12364.0;2174.0;3771.0;293.0;2294.0;624.0;98.0;755.0;121.0;2297.0;240.0;73.0;1402.0;1383.0;32.0
"aaronto01";437.0;944.0;102.0;216.0;3.0;155.0;42.0;6.0;13.0;6.0;94.0;9.0;8.0;86.0;145.0;0.0
"aasedo01";448.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
"abadan01";15.0;21.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;5.0;0.0
"abadfe01";363.0;9.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0
"abbotgl01";248.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"abbotje01";233.0;596.0;82.0;157.0;2.0;104.0;33.0;2.0;18.0;7.0;83.0;6.0;5.0;38.0;91.0;3.0
"abbotji01";263.0;21.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;10.0;0.0
"abbotku01";702.0;2044.0;273.0;523.0;11.0;329.0;109.0;23.0;62.0;12.0;242.0;22.0;11.0;133.0;571.0;17.0
"abbotky01";57.0;31.0;2.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;19.0;0.0
"abbotpa01";162.0;20.0;2.0;5.0;0.0;4.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;6.0;0.0
"aberal01";167.0;98.0;5.0;14.0;0.0;14.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;7.0;40.0;0.0
"abercre01";180.0;386.0;65.0;86.0;2.0;55.0;20.0;2.0;9.0;2.0;34.0;18.0;8.0;21.0;123.0;7.0
"abernbi01";1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"abernbr01";232.0;868.0;97.0;212.0;1.0;163.0;36.0;5.0;8.0;4.0;79.0;21.0;7.0;60.0;93.0;7.0
"abernte02";681.0;181.0;12.0;25.0;0.0;22.0;3.0;0.0;0.0;0.0;9.0;0.0;0.0;6.0;74.0;2.0
"abnersh01";392.0;840.0;89.0;191.0;10.0;137.0;39.0;4.0;11.0;7.0;71.0;6.0;8.0;43.0;153.0;7.0
"abramca01";521.0;1543.0;246.0;422.0;2.0;309.0;62.0;19.0;32.0;4.0;134.0;11.0;18.0;288.0;271.0;7.0
"abregjo01";6.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0
"abreubo01";2425.0;8480.0;1453.0;2470.0;115.0;1549.0;574.0;59.0;288.0;85.0;1363.0;400.0;128.0;1476.0;1840.0;33.0
"abreujo02";614.0;2414.0;330.0;726.0;39.0;446.0;144.0;12.0;124.0;18.0;410.0;6.0;3.0;172.0;515.0;56.0
"abreuju01";7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"abreuto01";224.0;579.0;61.0;147.0;2.0;96.0;39.0;6.0;6.0;8.0;60.0;2.0;4.0;22.0;116.0;5.0
"abreuwi01";38.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
"accarje01";262.0;7.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
"aceveal01";204.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
"acevejo01";104.0;101.0;2.0;8.0;0.0;6.0;2.0;0.0;0.0;1.0;4.0;0.0;0.0;5.0;61.0;1.0
"aceveju01";367.0;65.0;4.0;6.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;33.0;0.0
"achteaj01";45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"ackerji01";467.0;54.0;2.0;9.0;0.0;8.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;32.0;0.0
"ackerto01";153.0;77.0;10.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;12.0;46.0;1.0
"ackledu01";635.0;2125.0;261.0;512.0;10.0;354.0;94.0;18.0;46.0;12.0;216.0;31.0;12.0;194.0;419.0;5.0
"acklefr01";5.0;6.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;0.0
"acostcy01";107.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0
"acosted01";57.0;29.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0
"acostma01";233.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0
"acrema01";114.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"adairje01";1165.0;4019.0;378.0;1022.0;31.0;783.0;163.0;19.0;57.0;30.0;366.0;29.0;29.0;208.0;499.0;17.0
"adamecr01";166.0;306.0;31.0;63.0;1.0;49.0;8.0;4.0;2.0;0.0;20.0;2.0;4.0;28.0;69.0;5.0
"adamsau01";53.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"adamsau02";6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"adamsbo03";797.0;2604.0;395.0;701.0;1.0;538.0;107.0;31.0;25.0;5.0;188.0;25.0;30.0;277.0;304.0;9.0
"adamsbo04";15.0;24.0;2.0;6.0;0.0;3.0;1.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;5.0;0.0
"adamsda02";43.0;140.0;10.0;27.0;0.0;19.0;5.0;1.0;2.0;0.0;13.0;0.0;0.0;9.0;43.0;2.0
"adamsdo01";8.0;14.0;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;0.0
"adamsgl01";661.0;1617.0;152.0;452.0;8.0;334.0;79.0;5.0;34.0;19.0;225.0;6.0;10.0;111.0;183.0;4.0
"adamsjo02";44.0;10.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
"adamsla01";91.0;112.0;20.0;30.0;0.0;20.0;4.0;1.0;5.0;1.0;20.0;10.0;0.0;10.0;39.0;1.0
"adamsma01";586.0;1720.0;206.0;466.0;12.0;282.0;103.0;6.0;75.0;15.0;275.0;4.0;4.0;112.0;428.0;6.0
"adamsmi01";11.0;6.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0
"adamsmi02";100.0;118.0;27.0;23.0;0.0;15.0;5.0;0.0;3.0;0.0;9.0;2.0;1.0;32.0;29.0;2.0
"adamsmi03";410.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"adamsri02";120.0;247.0;35.0;53.0;3.0;43.0;5.0;1.0;4.0;0.0;16.0;3.0;2.0;10.0;37.0;5.0
"adamsru01";286.0;884.0;125.0;218.0;2.0;148.0;46.0;7.0;17.0;11.0;113.0;15.0;5.0;85.0;118.0;5.0
"adamsry01";29.0;89.0;9.0;25.0;0.0;21.0;4.0;0.0;0.0;0.0;7.0;0.0;0.0;6.0;25.0;1.0
"adamste01";574.0;78.0;2.0;4.0;0.0;3.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;7.0;41.0;0.0
