"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
0.0;"aaronha01";0.32685228628230617;0.4466;0.2799;0.1667;0.6489
1.0;"aaronha01";0.38056309341500766;0.5399;0.314;0.2259;0.6138
2.0;"aaronha01";0.385660092449923;0.5583;0.3284;0.2299;0.63
3.0;"aaronha01";0.40757530303030304;0.6;0.322;0.278;0.6111
4.0;"aaronha01";0.38869043209876547;0.5458;0.3261;0.2196;0.6531
5.0;"aaronha01";0.4257005917159763;0.6359;0.3545;0.2814;0.5874
6.0;"aaronha01";0.38082949308755765;0.5661;0.2915;0.2746;0.5872
7.0;"aaronha01";0.3985644615384615;0.5937;0.3267;0.267;0.5787
8.0;"aaronha01";0.41853261868300157;0.6182;0.3226;0.2956;0.5864
9.0;"aaronha01";0.4067613505747127;0.5864;0.3185;0.2678;0.6169
10.0;"aaronha01";0.3845872;0.514;0.3281;0.186;0.7005
11.0;"aaronha01";0.3895993640699523;0.5596;0.3175;0.2421;0.5967
12.0;"aaronha01";0.373841456166419;0.539;0.2786;0.2604;0.5952
13.0;"aaronha01";0.3878303076923077;0.5733;0.3067;0.2667;0.5707
14.0;"aaronha01";0.35145987748851454;0.4983;0.2871;0.2112;0.6207
15.0;"aaronha01";0.41407258064516134;0.6069;0.2998;0.3071;0.5305
16.0;"aaronha01";0.39784665523156093;0.5736;0.2984;0.2752;0.5779
17.0;"aaronha01";0.4424913043478261;0.6687;0.3273;0.3414;0.5556
18.0;"aaronha01";0.3840396975425331;0.5145;0.265;0.2494;0.6303
21.0;"aaronha01";0.30349090909090903;0.3548;0.2344;0.1204;0.7248
4.0;"abramca01";0.35303952569169955;0.4353;0.2857;0.1496;0.7578
4.0;"adairje01";0.3135973637961335;0.4145;0.2844;0.1301;0.7124
6.0;"adairje01";0.2643536379018613;0.3409;0.2478;0.0931;0.773
7.0;"adairje01";0.27971270358306194;0.3505;0.2595;0.0911;0.7616
6.0;"adamsbo03";0.3058564139941691;0.3626;0.2826;0.0801;0.8056
7.0;"adamsbo03";0.30937654135338344;0.3575;0.2751;0.0824;0.8323
3.0;"adcocjo01";0.33706671924290216;0.4525;0.2847;0.1678;0.6607
4.0;"adcocjo01";0.376175499092559;0.52;0.308;0.212;0.6429
6.0;"adcocjo01";0.38964658385093165;0.5969;0.2907;0.3062;0.5303
10.0;"adcocjo01";0.36156648745519715;0.5;0.2977;0.2023;0.6732
11.0;"adcocjo01";0.36829468599033816;0.5071;0.2847;0.2224;0.6563
4.0;"ageeto01";0.33060455212922174;0.4467;0.2734;0.1733;0.6686
5.0;"ageeto01";0.2897103806228374;0.3705;0.2344;0.1361;0.6613
7.0;"ageeto01";0.34658580542264755;0.4637;0.2708;0.1929;0.6536
8.0;"ageeto01";0.34728468208092483;0.4686;0.2862;0.1824;0.6648
0.0;"allenbe01";0.31596136724960255;0.4031;0.2688;0.1344;0.7013
1.0;"allendi01";0.39111001451378813;0.557;0.318;0.2389;0.602
2.0;"allendi01";0.36875410071942444;0.4943;0.3021;0.1922;0.6524
3.0;"allendi01";0.4254291808873721;0.6317;0.3168;0.3149;0.5482
4.0;"allendi01";0.4006508637236085;0.5659;0.3067;0.2592;0.5493
5.0;"allendi01";0.36349268707482996;0.5202;0.263;0.2572;0.5693
7.0;"allendi01";0.39072475822050295;0.5599;0.2789;0.281;0.5625
8.0;"allendi01";0.3687297637795276;0.4681;0.2951;0.173;0.7037
9.0;"allendi01";0.4245123102866779;0.6028;0.3083;0.2945;0.5513
11.0;"allendi01";0.39208779069767447;0.5628;0.3009;0.2619;0.5971
2.0;"alleyge01";0.27670473484848485;0.348;0.252;0.096;0.746
3.0;"alleyge01";0.32301270358306183;0.418;0.2988;0.1192;0.7399
4.0;"alleyge01";0.3126680743243243;0.3909;0.2873;0.1036;0.7595
5.0;"alleyge01";0.27277281553398053;0.3207;0.2447;0.0759;0.7759
1.0;"allisbo01";0.3502556082148499;0.4825;0.2614;0.2211;0.6174
2.0;"allisbo01";0.33883025210084033;0.4132;0.2515;0.1617;0.619
3.0;"allisbo01";0.3534129657228018;0.4496;0.2446;0.205;0.6103
4.0;"allisbo01";0.3772645901639344;0.5106;0.2659;0.2447;0.558
5.0;"allisbo01";0.3871821829855538;0.5332;0.2713;0.2619;0.5524
6.0;"allisbo01";0.405365593220339;0.5528;0.2866;0.2663;0.5532
9.0;"allisbo01";0.35602294220665504;0.4698;0.2581;0.2117;0.6016
10.0;"allisbo01";0.33311076923076927;0.4563;0.2473;0.209;0.6034
3.0;"almonbi01";0.27990416024653314;0.3361;0.261;0.075;0.8063
5.0;"alomasa01";0.25774030354131533;0.2809;0.2504;0.0304;0.9071
6.0;"alomasa01";0.26511052631578946;0.2932;0.2515;0.0417;0.8698
7.0;"alomasa01";0.27095659340659345;0.3208;0.2598;0.061;0.8268
8.0;"alomasa01";0.2546671755725191;0.2869;0.2393;0.0475;0.8356
9.0;"alomasa01";0.2462998023715415;0.2574;0.2383;0.0191;0.9286
11.0;"alomasa01";0.25430909090909093;0.3047;0.2393;0.0654;0.7949
4.0;"aloufe01";0.3685348837209303;0.5134;0.3155;0.1979;0.6723
5.0;"aloufe01";0.3344041736227045;0.4743;0.2814;0.1929;0.6226
7.0;"aloufe01";0.34695245346869713;0.4811;0.2973;0.1838;0.6727
8.0;"aloufe01";0.37863925501432666;0.533;0.3273;0.2057;0.6835
9.0;"aloufe01";0.3092210180623974;0.4077;0.2735;0.1341;0.7197
10.0;"aloufe01";0.3390024147727273;0.4381;0.3172;0.1208;0.7476
11.0;"aloufe01";0.2892041916167665;0.3445;0.2815;0.063;0.8582
12.0;"aloufe01";0.28792023026315794;0.367;0.2713;0.0957;0.7692
13.0;"aloufe01";0.31873641851106643;0.41;0.2885;0.1215;0.7444
2.0;"alouje01";0.309026559714795;0.3978;0.2983;0.0994;0.8025
4.0;"alouje01";0.2966606463878327;0.3667;0.2922;0.0745;0.8389
6.0;"alouje01";0.26084166666666664;0.3407;0.2478;0.0929;0.75
7.0;"alouje01";0.30546812500000003;0.3843;0.3057;0.0786;0.7786
6.0;"alouma01";0.34248007117437723;0.4206;0.3421;0.0785;0.8415
7.0;"alouma01";0.34122948275862064;0.4127;0.3382;0.0745;0.8387
8.0;"alouma01";0.32448;0.3961;0.3315;0.0645;0.827
9.0;"alouma01";0.33250828804347826;0.4112;0.3309;0.0802;0.7922
10.0;"alouma01";0.2982617440225035;0.356;0.2969;0.0591;0.8507
11.0;"alouma01";0.32922857142857137;0.4154;0.3153;0.1002;0.7865
