"playerID";"nameLast";"nameFirst";"ISO";"BA";"speedRatio";"WOBA";"SLG";"yearsPlayed";"finalGame";"debut";"G";"AB";"R";"H";"1B";"2B";"3B";"HR";"RBI";"BB";"SO";"HBP"
"rosepe01";"Rose";"Pete";0.1065;0.3029;0.7554;0.3384461312188259;0.4093;23.0;"1986-08-17";"1963-04-08";3562.0;14053.0;2165.0;4256.0;3215.0;746.0;135.0;160.0;1314.0;1566.0;1143.0;107.0
"aaronha01";"Aaron";"Hank";0.2495;0.305;0.6083;0.38700421253485984;0.5545;22.0;"1976-10-03";"1954-04-13";3298.0;12364.0;2174.0;3771.0;2294.0;624.0;98.0;755.0;2297.0;1402.0;1383.0;32.0
"yastrca01";"Yastrzemski";"Carl";0.1768;0.2852;0.6616;0.3591955758630693;0.462;22.0;"1983-10-02";"1961-04-11";3308.0;11988.0;1816.0;3419.0;2262.0;646.0;59.0;452.0;1844.0;1845.0;1393.0;40.0
"ripkeca01";"Ripken";"Cal";0.1718;0.2756;0.6614;0.33520572614757954;0.4474;20.0;"2001-10-06";"1981-08-10";3001.0;11551.0;1647.0;3184.0;2106.0;603.0;44.0;431.0;1695.0;1129.0;1305.0;66.0
"murraed02";"Murray";"Eddie";0.189;0.2871;0.6624;0.35263670293019933;0.4761;20.0;"1997-09-20";"1977-04-07";3026.0;11336.0;1627.0;3255.0;2156.0;560.0;35.0;504.0;1917.0;1333.0;1516.0;18.0
"jeterde01";"Jeter";"Derek";0.1301;0.3095;0.7489;0.35398912241296326;0.4396;19.0;"2014-09-28";"1995-05-29";2747.0;11195.0;1923.0;3465.0;2595.0;544.0;66.0;260.0;1311.0;1082.0;1840.0;170.0
"yountro01";"Yount";"Robin";0.1443;0.2854;0.6945;0.32874093775933605;0.4297;19.0;"1993-10-03";"1974-04-05";2856.0;11008.0;1632.0;3142.0;2182.0;583.0;126.0;251.0;1406.0;966.0;1350.0;48.0
"winfida01";"Winfield";"Dave";0.1919;0.2827;0.6486;0.3499065505054656;0.4745;22.0;"1995-10-01";"1973-06-19";2973.0;11003.0;1669.0;3110.0;2017.0;540.0;88.0;465.0;1833.0;1216.0;1686.0;25.0
"henderi01";"Henderson";"Rickey";0.1399;0.2787;0.7142;0.3608341003394946;0.4186;24.0;"2003-09-19";"1979-06-24";3081.0;10961.0;2295.0;3055.0;2182.0;510.0;66.0;297.0;1115.0;2190.0;1694.0;98.0
"mayswi01";"Mays";"Willie";0.2558;0.3017;0.597;0.3948812906901042;0.5575;22.0;"1973-09-09";"1951-05-25";2992.0;10881.0;2062.0;3283.0;1960.0;523.0;140.0;660.0;1903.0;1464.0;1526.0;44.0
"biggicr01";"Biggio";"Craig";0.1518;0.2814;0.6686;0.34289539484352194;0.4332;19.0;"2007-09-30";"1988-06-26";2850.0;10876.0;1844.0;3060.0;2046.0;668.0;55.0;291.0;1175.0;1160.0;1753.0;285.0
"molitpa01";"Molitor";"Paul";0.1417;0.3063;0.7129;0.34864876929495203;0.448;20.0;"1998-09-27";"1978-04-07";2683.0;10835.0;1782.0;3319.0;2366.0;605.0;114.0;234.0;1307.0;1094.0;1244.0;47.0
"robinbr01";"Robinson";"Brooks";0.1335;0.2673;0.7128;0.30859996540091694;0.4008;22.0;"1977-08-13";"1955-09-17";2896.0;10654.0;1232.0;2848.0;2030.0;482.0;68.0;268.0;1357.0;860.0;990.0;53.0
"vizquom01";"Vizquel";"Omar";0.0803;0.2718;0.7869;0.30210958063416293;0.3521;23.0;"2012-10-03";"1989-04-03";2968.0;10586.0;1445.0;2877.0;2264.0;456.0;77.0;80.0;951.0;1028.0;1087.0;49.0
"rodrial01";"Rodriguez";"Alex";0.2553;0.2948;0.5907;0.39253553828344634;0.5502;22.0;"2016-08-12";"1994-07-08";2784.0;10566.0;2021.0;3115.0;1840.0;548.0;31.0;696.0;2086.0;1338.0;2287.0;176.0
"palmera01";"Palmeiro";"Rafael";0.2261;0.2884;0.6053;0.3724764735643815;0.5145;19.0;"2005-08-30";"1986-09-08";2831.0;10472.0;1663.0;3020.0;1828.0;585.0;38.0;569.0;1835.0;1353.0;1348.0;87.0
"brettge01";"Brett";"George";0.1826;0.3048;0.6452;0.35764504353944937;0.4874;20.0;"1993-10-03";"1973-08-02";2707.0;10349.0;1583.0;3154.0;2035.0;665.0;137.0;317.0;1596.0;1096.0;908.0;33.0
"brocklo01";"Brock";"Lou";0.1176;0.2926;0.7433;0.32166663051337674;0.4102;18.0;"1979-09-30";"1961-09-10";2616.0;10332.0;1610.0;3023.0;2247.0;486.0;141.0;149.0;900.0;761.0;1730.0;49.0
"aparilu01";"Aparicio";"Luis";0.0808;0.2617;0.7874;0.2852530460758577;0.3425;17.0;"1973-09-28";"1956-04-17";2601.0;10230.0;1335.0;2677.0;2108.0;394.0;92.0;83.0;791.0;736.0;742.0;27.0
"kalinal01";"Kaline";"Al";0.1824;0.2973;0.6768;0.3640946326941598;0.4796;21.0;"1974-10-02";"1953-06-25";2834.0;10116.0;1622.0;3007.0;2035.0;498.0;75.0;399.0;1583.0;1277.0;1020.0;55.0
"robinfr02";"Robinson";"Frank";0.2429;0.2941;0.597;0.38887719847062907;0.537;20.0;"1976-09-18";"1956-04-17";2808.0;10006.0;1829.0;2943.0;1757.0;528.0;72.0;586.0;1812.0;1420.0;1532.0;198.0
"dawsoan01";"Dawson";"Andre";0.2028;0.2794;0.6255;0.33711557253348423;0.4822;20.0;"1996-09-29";"1976-09-11";2627.0;9927.0;1373.0;2774.0;1735.0;503.0;98.0;438.0;1591.0;589.0;1509.0;111.0
"baineha01";"Baines";"Harold";0.1754;0.2893;0.6786;0.34664196035242295;0.4647;21.0;"2001-09-27";"1980-04-10";2830.0;9908.0;1299.0;2866.0;1945.0;488.0;49.0;384.0;1628.0;1062.0;1441.0;14.0
"jacksre01";"Jackson";"Reggie";0.2281;0.262;0.584;0.35846501468102143;0.4901;20.0;"1987-10-04";"1967-06-09";2820.0;9864.0;1551.0;2584.0;1509.0;463.0;49.0;563.0;1702.0;1375.0;2597.0;96.0
"bondsba01";"Bonds";"Barry";0.3088;0.2981;0.5094;0.4278305438979352;0.6069;21.0;"2007-09-26";"1986-05-30";2986.0;9847.0;2227.0;2935.0;1495.0;601.0;77.0;762.0;1996.0;2558.0;1539.0;106.0
"griffke02";"Griffey";"Ken";0.2541;0.2837;0.5714;0.3783432036199095;0.5378;21.0;"2010-05-31";"1989-04-03";2671.0;9801.0;1662.0;2781.0;1589.0;524.0;38.0;630.0;1836.0;1312.0;1779.0;81.0
"damonjo01";"Damon";"Johnny";0.1484;0.2844;0.6873;0.337279541674367;0.4328;17.0;"2012-08-01";"1995-08-12";2490.0;9736.0;1668.0;2769.0;1903.0;522.0;109.0;235.0;1139.0;1003.0;1257.0;50.0
"pinsova01";"Pinson";"Vada";0.1562;0.2858;0.6852;0.32625962847695;0.4421;17.0;"1975-09-28";"1958-04-15";2469.0;9645.0;1365.0;2757.0;1889.0;485.0;127.0;256.0;1169.0;574.0;1196.0;54.0
"rodriiv01";"Rodriguez";"Ivan";0.1675;0.2965;0.6716;0.3368289618560755;0.464;20.0;"2011-09-28";"1991-06-20";2543.0;9592.0;1354.0;2844.0;1910.0;572.0;51.0;311.0;1332.0;513.0;1474.0;58.0
"clemero01";"Clemente";"Roberto";0.1578;0.3173;0.718;0.3516537116595065;0.4751;17.0;"1972-10-03";"1955-04-17";2433.0;9454.0;1416.0;3000.0;2154.0;440.0;166.0;240.0;1305.0;621.0;1230.0;35.0
"bankser01";"Banks";"Ernie";0.2253;0.2742;0.6094;0.34653109732072496;0.4995;18.0;"1971-09-26";"1953-09-17";2528.0;9421.0;1305.0;2583.0;1574.0;407.0;90.0;512.0;1636.0;763.0;1236.0;70.0
"bucknbi01";"Buckner";"Bill";0.119;0.2889;0.7344;0.30794529620253164;0.4079;21.0;"1990-05-30";"1969-09-21";2517.0;9397.0;1077.0;2715.0;1994.0;498.0;49.0;174.0;1208.0;450.0;453.0;42.0
"finlest01";"Finley";"Steve";0.1712;0.2712;0.6558;0.33029319417475733;0.4424;18.0;"2007-06-03";"1989-04-03";2583.0;9397.0;1443.0;2548.0;1671.0;449.0;124.0;304.0;1167.0;844.0;1299.0;53.0
"smithoz01";"Smith";"Ozzie";0.0664;0.2618;0.7972;0.2931607248450167;0.3282;18.0;"1996-09-29";"1978-04-07";2573.0;9396.0;1257.0;2460.0;1961.0;402.0;69.0;28.0;793.0;1072.0;589.0;33.0
"parkeda01";"Parker";"Dave";0.1809;0.2898;0.6534;0.3389824827723959;0.4707;18.0;"1991-10-02";"1973-07-12";2466.0;9358.0;1272.0;2712.0;1772.0;526.0;75.0;339.0;1493.0;683.0;1537.0;56.0
"willibi01";"Williams";"Billy";0.2019;0.2899;0.6503;0.3600014909478168;0.4919;17.0;"1976-10-02";"1959-08-06";2488.0;9350.0;1410.0;2711.0;1763.0;434.0;88.0;426.0;1475.0;1045.0;1046.0;43.0
"carewro01";"Carew";"Rod";0.1014;0.3278;0.7874;0.35334748978400465;0.4292;18.0;"1985-10-05";"1967-04-11";2469.0;9315.0;1424.0;3053.0;2404.0;445.0;112.0;92.0;1015.0;1018.0;1028.0;25.0
"rolliji01";"Rollins";"Jimmy";0.1543;0.2641;0.6509;0.31723527498521586;0.4184;16.0;"2016-06-08";"2000-09-17";2275.0;9294.0;1421.0;2455.0;1598.0;511.0;115.0;231.0;936.0;813.0;1264.0;38.0
"gwynnto01";"Gwynn";"Tony";0.1204;0.3382;0.7571;0.35727486979166667;0.4585;19.0;"2001-10-07";"1982-07-19";2440.0;9288.0;1383.0;3141.0;2378.0;543.0;85.0;135.0;1138.0;790.0;434.0;24.0
