"playerID";"nameLast";"nameFirst";"ISO";"BA";"speedRatio";"WOBA";"SLG";"yearsPlayed";"finalGame";"debut";"G";"AB";"R";"H";"1B";"2B";"3B";"HR";"RBI";"BB";"SO";"HBP"
"puckeki01";"Puckett";"Kirby";0.1586;0.3181;0.7057;0.3534647675773663;0.4767;11.0;"1995-09-28";"1984-05-08";1783.0;7244.0;1071.0;2304.0;1626.0;414.0;57.0;207.0;1085.0;450.0;965.0;56.0
"riosal01";"Rios";"Alex";0.1569;0.277;0.6592;0.3203997101869295;0.4339;11.0;"2015-10-04";"2004-05-27";1691.0;6419.0;885.0;1778.0;1172.0;374.0;63.0;169.0;794.0;400.0;1117.0;45.0
"knoblch01";"Knoblauch";"Chuck";0.1169;0.2889;0.7368;0.34256110581506194;0.4057;11.0;"2002-09-27";"1991-04-09";1632.0;6366.0;1132.0;1839.0;1355.0;322.0;64.0;98.0;615.0;804.0;730.0;139.0
"brutobi01";"Bruton";"Bill";0.12;0.2726;0.7353;0.31130821145642895;0.3927;11.0;"1964-10-02";"1953-04-13";1610.0;6056.0;937.0;1651.0;1214.0;241.0;102.0;94.0;545.0;482.0;793.0;29.0
"powervi01";"Power";"Vic";0.1267;0.2838;0.729;0.3091884627475636;0.4105;11.0;"1965-10-03";"1954-04-13";1627.0;6046.0;765.0;1716.0;1251.0;290.0;49.0;126.0;658.0;279.0;247.0;15.0
"belleal01";"Belle";"Albert";0.2689;0.2949;0.5417;0.38785784432958337;0.5638;11.0;"2000-10-01";"1989-07-15";1539.0;5853.0;974.0;1726.0;935.0;389.0;21.0;381.0;1239.0;683.0;961.0;55.0
"fieldpr01";"Fielder";"Prince";0.223;0.2826;0.6049;0.37263209747346393;0.5056;11.0;"2016-07-18";"2005-06-13";1611.0;5821.0;862.0;1645.0;995.0;321.0;10.0;319.0;1028.0;847.0;1155.0;124.0
"mosebll01";"Moseby";"Lloyd";0.1568;0.2569;0.66;0.3206176479654747;0.4138;11.0;"1991-10-06";"1980-05-24";1588.0;5815.0;869.0;1494.0;986.0;273.0;66.0;169.0;737.0;616.0;1135.0;58.0
"millafe01";"Millan";"Felix";0.0641;0.2792;0.8213;0.2891476151849448;0.3433;11.0;"1977-08-12";"1966-06-02";1480.0;5791.0;699.0;1617.0;1328.0;229.0;38.0;22.0;403.0;318.0;242.0;63.0
"larocad01";"LaRoche";"Adam";0.2022;0.2596;0.5813;0.3369597251078792;0.4618;11.0;"2015-10-02";"2004-04-07";1605.0;5593.0;752.0;1452.0;844.0;340.0;13.0;255.0;882.0;649.0;1407.0;24.0
"tovarce01";"Tovar";"Cesar";0.09;0.2776;0.771;0.3061691004768953;0.3676;11.0;"1976-09-29";"1965-04-12";1488.0;5569.0;834.0;1546.0;1192.0;253.0;55.0;46.0;435.0;413.0;410.0;88.0
"hargrmi01";"Hargrove";"Mike";0.101;0.2901;0.7683;0.344785914207484;0.3911;11.0;"1985-10-06";"1974-04-07";1666.0;5564.0;783.0;1614.0;1240.0;266.0;28.0;80.0;686.0;965.0;550.0;53.0
"cashda01";"Cash";"Dave";0.0753;0.2829;0.7963;0.30098788131355225;0.3581;11.0;"1980-10-05";"1969-09-13";1422.0;5554.0;732.0;1571.0;1251.0;243.0;56.0;21.0;426.0;424.0;309.0;18.0
"burrepa01";"Burrell";"Pat";0.2193;0.2531;0.5642;0.356148275862069;0.4725;11.0;"2011-09-28";"2000-05-24";1640.0;5503.0;767.0;1393.0;786.0;299.0;16.0;292.0;976.0;932.0;1564.0;31.0
"obriepe03";"O'Brien";"Pete";0.1477;0.2614;0.6875;0.3188081632653061;0.409;11.0;"1993-07-20";"1982-09-03";1567.0;5437.0;654.0;1421.0;977.0;254.0;21.0;169.0;736.0;641.0;563.0;7.0
"malzofr01";"Malzone";"Frank";0.1253;0.2738;0.7355;0.3063489760798485;0.399;11.0;"1966-10-01";"1955-09-17";1441.0;5428.0;647.0;1486.0;1093.0;239.0;21.0;133.0;728.0;337.0;434.0;17.0
"randajo01";"Randa";"Joe";0.1415;0.2843;0.685;0.3265749496644295;0.4258;11.0;"2006-10-01";"1995-04-30";1522.0;5428.0;697.0;1543.0;1057.0;327.0;36.0;123.0;739.0;432.0;738.0;55.0
"mcreyke01";"McReynolds";"Kevin";0.182;0.2654;0.6317;0.32749536757301106;0.4474;11.0;"1994-08-11";"1983-06-02";1502.0;5423.0;727.0;1439.0;909.0;284.0;35.0;211.0;807.0;522.0;707.0;14.0
"richabo01";"Richardson";"Bobby";0.0691;0.2659;0.8135;0.27514414827890554;0.3349;11.0;"1966-10-02";"1955-08-05";1412.0;5386.0;643.0;1432.0;1165.0;196.0;37.0;34.0;390.0;262.0;243.0;7.0
"alfoned01";"Alfonzo";"Edgardo";0.1404;0.2845;0.7089;0.3375237324525186;0.4249;11.0;"2006-06-11";"1995-04-26";1506.0;5385.0;777.0;1532.0;1086.0;282.0;18.0;146.0;744.0;596.0;617.0;41.0
"guzmacr01";"Guzman";"Cristian";0.1119;0.2711;0.7334;0.29603158264535395;0.3829;11.0;"2010-09-08";"1999-04-06";1406.0;5382.0;727.0;1459.0;1070.0;238.0;89.0;62.0;467.0;265.0;783.0;31.0
"swishni01";"Swisher";"Nick";0.1982;0.2492;0.5792;0.3425432112585959;0.4474;11.0;"2015-10-02";"2004-09-03";1527.0;5369.0;805.0;1338.0;775.0;307.0;11.0;245.0;803.0;817.0;1373.0;56.0
"smithal04";"Smith";"Al";0.1572;0.2722;0.679;0.3403729818241362;0.4293;11.0;"1964-10-04";"1953-07-10";1517.0;5357.0;843.0;1458.0;990.0;258.0;46.0;164.0;676.0;674.0;768.0;63.0
"munsoth01";"Munson";"Thurman";0.1183;0.2915;0.7599;0.3246534260690366;0.4098;10.0;"1979-08-01";"1969-08-08";1423.0;5344.0;696.0;1558.0;1184.0;229.0;32.0;113.0;701.0;438.0;571.0;42.0
"blasido01";"Blasingame";"Don";0.0689;0.2579;0.8089;0.2913388159017233;0.3269;11.0;"1966-08-27";"1955-09-20";1444.0;5296.0;731.0;1366.0;1105.0;178.0;62.0;21.0;308.0;552.0;462.0;15.0
"seitzke01";"Seitzer";"Kevin";0.1093;0.295;0.7469;0.33903396194926566;0.4043;11.0;"1997-09-28";"1986-09-03";1439.0;5278.0;739.0;1557.0;1163.0;285.0;35.0;74.0;613.0;669.0;617.0;35.0
"francje02";"Francoeur";"Jeff";0.1549;0.261;0.6591;0.30415456327985746;0.416;11.0;"2016-10-02";"2005-07-07";1481.0;5260.0;626.0;1373.0;905.0;281.0;27.0;160.0;698.0;284.0;1080.0;60.0
"hayesvo01";"Hayes";"Von";0.1492;0.2671;0.6712;0.3298022517223996;0.4163;11.0;"1992-08-19";"1981-04-14";1495.0;5249.0;767.0;1402.0;941.0;282.0;36.0;143.0;696.0;712.0;804.0;22.0
"huntro01";"Hunt";"Ron";0.0737;0.273;0.8006;0.3198306481021051;0.3467;11.0;"1974-09-28";"1963-04-16";1483.0;5235.0;745.0;1429.0;1144.0;223.0;23.0;39.0;370.0;555.0;382.0;243.0
"beckegl01";"Beckert";"Glenn";0.0622;0.2828;0.831;0.2894555616040646;0.345;10.0;"1975-04-27";"1965-04-12";1320.0;5208.0;685.0;1473.0;1224.0;196.0;31.0;22.0;360.0;260.0;243.0;19.0
"gonzato01";"Gonzalez";"Tony";0.1272;0.2859;0.732;0.3278533800350263;0.4131;11.0;"1971-09-29";"1960-04-12";1559.0;5195.0;690.0;1485.0;1087.0;238.0;57.0;103.0;615.0;467.0;706.0;71.0
"rayjo01";"Ray";"Johnny";0.1012;0.2895;0.745;0.30877780969479357;0.3907;9.0;"1990-09-30";"1981-09-02";1353.0;5188.0;604.0;1502.0;1119.0;294.0;36.0;53.0;594.0;353.0;329.0;12.0
"raderdo02";"Rader";"Doug";0.1519;0.2511;0.6628;0.3109441258255127;0.403;10.0;"1977-10-02";"1967-07-31";1465.0;5186.0;631.0;1302.0;863.0;245.0;39.0;155.0;722.0;528.0;1055.0;40.0
"jenseja01";"Jensen";"Jackie";0.1814;0.2809;0.6568;0.3578527031564808;0.4623;11.0;"1961-10-01";"1950-04-18";1393.0;5166.0;797.0;1451.0;953.0;257.0;43.0;198.0;924.0;743.0;538.0;23.0
