"playerID";"nameLast";"nameFirst";"ISO";"BA";"speedRatio";"WOBA";"SLG";"yearsPlayed";"finalGame";"debut";"G";"AB";"R";"H";"1B";"2B";"3B";"HR";"RBI";"BB";"SO";"HBP"
"carrach01";"Carrasquel";"Chico";0.0835;0.2551;0.7888;0.2961313085129545;0.3386;9.0;"1959-09-23";"1950-04-18";1184.0;4120.0;496.0;1051.0;829.0;151.0;20.0;51.0;428.0;425.0;421.0;33.0
"jenseja01";"Jensen";"Jackie";0.1814;0.2809;0.6568;0.3578527031564808;0.4623;11.0;"1961-10-01";"1950-04-18";1393.0;5166.0;797.0;1451.0;953.0;257.0;43.0;198.0;924.0;743.0;538.0;23.0
"fondyde01";"Fondy";"Dee";0.1271;0.2856;0.74;0.31629360902255643;0.4126;7.0;"1958-09-21";"1951-04-17";967.0;3502.0;437.0;1000.0;740.0;144.0;47.0;69.0;373.0;203.0;526.0;7.0
"mantlmi01";"Mantle";"Mickey";0.2587;0.2981;0.6058;0.4143280171972566;0.5568;17.0;"1968-09-28";"1951-04-17";2401.0;8102.0;1677.0;2415.0;1463.0;344.0;72.0;536.0;1509.0;1733.0;1710.0;13.0
"mcmilro01";"McMillan";"Roy";0.0781;0.2427;0.7828;0.28013156978301634;0.3208;15.0;"1966-08-03";"1951-04-17";2093.0;6752.0;739.0;1639.0;1283.0;253.0;35.0;68.0;594.0;665.0;711.0;57.0
"mcdougi01";"McDougald";"Gil";0.1337;0.2761;0.7289;0.33464758034026465;0.4098;9.0;"1960-10-02";"1951-04-20";1336.0;4676.0;697.0;1291.0;941.0;187.0;51.0;112.0;576.0;559.0;623.0;36.0
"mayswi01";"Mays";"Willie";0.2558;0.3017;0.597;0.3948812906901042;0.5575;22.0;"1973-09-09";"1951-05-25";2992.0;10881.0;2062.0;3283.0;1960.0;523.0;140.0;660.0;1903.0;1464.0;1526.0;44.0
"runnepe01";"Runnels";"Pete";0.0874;0.2909;0.7869;0.3314112812025928;0.3783;13.0;"1964-05-14";"1951-07-01";1799.0;6373.0;876.0;1854.0;1459.0;282.0;64.0;49.0;630.0;844.0;627.0;28.0
"matheed01";"Mathews";"Eddie";0.2383;0.2712;0.5948;0.37709734886523394;0.5094;16.0;"1968-09-27";"1952-04-15";2391.0;8537.0;1509.0;2315.0;1377.0;354.0;72.0;512.0;1453.0;1444.0;1487.0;26.0
"groatdi01";"Groat";"Dick";0.0806;0.2857;0.7858;0.3008683212771264;0.3662;15.0;"1967-10-01";"1952-06-18";1929.0;7484.0;829.0;2138.0;1680.0;352.0;67.0;39.0;707.0;490.0;512.0;31.0
