"playerID";"nameLast";"nameFirst";"ISO";"BA";"speedRatio";"WOBA";"SLG";"yearsPlayed";"finalGame";"debut";"G";"AB";"R";"H";"1B";"2B";"3B";"HR";"RBI";"BB";"SO";"HBP"
"willsbu01";"Wills";"Bump";0.0937;0.2663;0.767;0.30324860368389783;0.3601;5.0;"1982-10-03";"1977-04-07";831.0;3030.0;472.0;807.0;619.0;128.0;24.0;36.0;302.0;310.0;441.0;17.0
"foyjo01";"Foy";"Joe";0.124;0.2476;0.7138;0.31834294584339423;0.3716;5.0;"1971-05-27";"1966-04-13";716.0;2484.0;355.0;615.0;439.0;102.0;16.0;58.0;291.0;390.0;405.0;18.0
"castijo01";"Castino";"John";0.1194;0.2784;0.7508;0.3146851216593538;0.3978;5.0;"1984-05-07";"1979-04-06";666.0;2320.0;293.0;646.0;485.0;86.0;34.0;41.0;249.0;177.0;298.0;5.0
"wrighge03";"Wright";"George";0.1157;0.2449;0.7202;0.2771275907302142;0.3606;4.0;"1986-10-05";"1982-04-10";627.0;2160.0;231.0;529.0;381.0;88.0;18.0;42.0;208.0;126.0;314.0;9.0
"bostoly01";"Bostock";"Lyman";0.1153;0.3114;0.7516;0.33833663003663;0.4266;3.0;"1978-09-23";"1975-04-08";526.0;2004.0;305.0;624.0;469.0;102.0;30.0;23.0;250.0;171.0;174.0;9.0
"schilch01";"Schilling";"Chuck";0.0787;0.2387;0.7787;0.2749200741770978;0.3174;4.0;"1965-10-03";"1961-04-11";541.0;1969.0;230.0;470.0;366.0;76.0;5.0;23.0;146.0;176.0;236.0;11.0
"fukudko01";"Fukudome";"Kosuke";0.1363;0.2582;0.6667;0.3274165256124722;0.3945;4.0;"2012-06-03";"2008-03-31";596.0;1929.0;264.0;498.0;332.0;111.0;13.0;42.0;195.0;307.0;402.0;8.0
"castijo02";"Castillo";"Jose";0.1251;0.2539;0.6879;0.2861034431874078;0.379;4.0;"2008-09-28";"2004-04-07";592.0;1918.0;211.0;487.0;335.0;103.0;10.0;39.0;218.0;111.0;378.0;9.0
"iguchta01";"Iguchi";"Tadahito";0.1331;0.2683;0.7045;0.3212623357664233;0.4014;3.0;"2008-09-28";"2005-04-04";493.0;1841.0;267.0;494.0;348.0;91.0;11.0;44.0;205.0;189.0;387.0;12.0
"reverda01";"Revering";"Dave";0.1643;0.2653;0.6687;0.3163748985801217;0.4296;4.0;"1982-10-01";"1978-04-08";557.0;1832.0;205.0;486.0;325.0;83.0;16.0;62.0;234.0;148.0;240.0;2.0
"garcipe01";"Garcia";"Pedro";0.128;0.2198;0.643;0.26305648340248966;0.3478;4.0;"1977-06-08";"1973-04-06";558.0;1797.0;196.0;395.0;254.0;89.0;15.0;37.0;184.0;102.0;329.0;21.0
"greenji02";"Greengrass";"Jim";0.179;0.2688;0.6535;0.33380223804679554;0.4479;4.0;"1956-09-30";"1952-09-09";504.0;1793.0;243.0;482.0;315.0;82.0;16.0;69.0;282.0;165.0;271.0;4.0
"johjike01";"Johjima";"Kenji";0.1429;0.2679;0.6914;0.3100339930151339;0.4108;3.0;"2009-10-03";"2006-04-03";462.0;1609.0;166.0;431.0;298.0;84.0;1.0;48.0;198.0;66.0;148.0;37.0
"iwamuak01";"Iwamura";"Akinori";0.1074;0.2673;0.7288;0.3146261617900172;0.3748;3.0;"2010-09-26";"2007-04-02";408.0;1545.0;222.0;413.0;301.0;74.0;22.0;16.0;117.0;183.0;330.0;6.0
"quinore01";"Quinones";"Rey";0.1135;0.2433;0.7051;0.27702521263669505;0.3568;3.0;"1989-07-21";"1986-05-17";451.0;1533.0;173.0;373.0;263.0;75.0;6.0;29.0;159.0;89.0;240.0;11.0
